Description R1	Best V hit	Best D hit	Best J hit
1882496738374862091	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-1528953254789496971	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
5852414601180182936	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-7335324644315480637	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
5153338617691469720	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
86188654026476153	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
7404548073354975483	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-7298959553454314474	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-2404918413139851629	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-116130840601034625	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-2780385492586009756	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
8802815437660992773	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
5388875579417588906	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-3814607319474919522	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
3163243000526230830	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-6189281676653034968	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-1469882318926795427	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-4648987519435737583	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-5768129903350595624	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-209644932987416566	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-5493052240293134113	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
6587081687257922246	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-3198353580822304763	IGHV4-31*00	IGHD3-3*00	IGHJ6*00
1146412756205138751	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-8008367199701268353	IGHV4-31*00	IGHD3-10*00	IGHJ6*00
8180975610936334717	IGHV4-31*00	IGHD2-8*00	IGHJ6*00
1445034438810280647	IGHV4-31*00	IGHD3-3*00	IGHJ6*00
-3010153933310527086	IGHV4-31*00	IGHD3-16*00	IGHJ6*00
1044270300297935486	IGHV4-31*00	IGHD5-18*00	IGHJ6*00
283501270999277595	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-1896167299638791821	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-6456144719454986632	IGHV4-31*00	IGHD3-16*00	IGHJ6*00
-1319235067245200509	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-7393770073448218313	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
6257419126188279210	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
-1831483827130696259	IGHV4-31*00	IGHD2-21*00	IGHJ6*00
408598466098449333	IGHV3-15*00	IGHD4-23*00	IGHJ4*00
5279574813129386949	IGHV3-15*00	IGHD1-26*00	IGHJ4*00
-7551121800633891177	IGHV3-64*00	IGHD1-26*00	IGHJ4*00
1969359380256326496	IGHV3-64*00	IGHD1-26*00	IGHJ4*00
7546365269357511285	IGHV3-64*00	IGHD5-24*00	IGHJ4*00
-3870578728862590522	IGHV1-18*00	IGHD7-27*00	IGHJ6*00
8493174614679991773	IGHV1-18*00	IGHD5-24*00	IGHJ2*00
2337887213336374871	IGHV1-18*00	IGHD3-3*00	IGHJ6*00
1997667902133450624	IGHV1-18*00	IGHD3-22*00	IGHJ6*00
2719451597310390586	IGHV1-18*00	IGHD3-3*00	IGHJ6*00
-5929645558124593304	IGHV1-18*00	IGHD3-3*00	IGHJ6*00
-15741819015517966	IGHV1-18*00	IGHD3-3*00	IGHJ6*00
5803606367217337100	IGHV1-18*00	IGHD3-3*00	IGHJ6*00
-8786072443730073605	IGHV1-18*00	IGHD3-3*00	IGHJ6*00
-4902842510290745144	IGHV1-18*00	IGHD3-3*00	IGHJ6*00
7811445592861236964	IGHV3-11*00	IGHD3-10*00	IGHJ4*00
-217182255127558979	IGHV3-11*00	IGHD3-10*00	IGHJ4*00
2114322813750737225	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
-2448917880079035987	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
2000222072746340608	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
-6553395652001822267	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
-5334842028173342098	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
-8779329338949150018	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
7962887506685726494	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
-6242184250930572708	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
1726824471729242021	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
7949937511413331777	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
7290585214605003028	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
-7398797416677833503	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
4311082994742214454	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
-6979578970155807550	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
5326051100092235335	IGHV3-30*00	IGHD3-22*00	IGHJ4*00
5879914003276663412	IGHV3-64*00	IGHD1-26*00	IGHJ3*00
-6798263685039628703	IGHV3-64*00	IGHD1-26*00	IGHJ3*00
3526248966331378814	IGHV3-64*00	IGHD1-26*00	IGHJ3*00
708953247265606030	IGHV3-64*00	IGHD1-26*00	IGHJ3*00
-7774384972025108364	IGHV3-64*00	IGHD2-15*00	IGHJ3*00
4856073639936761657	IGHV3-64*00	IGHD2-15*00	IGHJ3*00
-1579222228591756731	IGHV3-64*00	IGHD2-15*00	IGHJ3*00
8944619903851592617	IGHV3-64*00	IGHD1-26*00	IGHJ3*00
-5694277107235219355	IGHV3-64*00	IGHD6-19*00	IGHJ3*00
893414534452104035	IGHV3-64*00	IGHD6-19*00	IGHJ3*00
-3561354850489781636	IGHV3-64*00	IGHD6-19*00	IGHJ3*00
-7676303317034713106	IGHV3-49*00	IGHD3-22*00	IGHJ4*00
4344292293628502098	IGHV4-31*00	IGHD2-21*00	IGHJ4*00
1370852928157687097	IGHV4-39*00	IGHD1-26*00	IGHJ2P*00
-1948254913678342478	IGHV4-39*00	IGHD5-24*00	IGHJ4*00
2924298260217968788	IGHV4-31*00	IGHD6-19*00	IGHJ4*00
335344430715249178	IGHV4-39*00	IGHD1-26*00	IGHJ4*00
7022061907230644905	IGHV4-31*00	IGHD1-14*00	IGHJ4*00
2071056018168778744	IGHV4-39*00	IGHD3-3*00	IGHJ4*00
-1391087410052119389	IGHV4-39*00	IGHD4-17*00	IGHJ2P*00
378777603138064911	IGHV4-39*00	IGHD1-1*00	IGHJ4*00
7543543834847220220	IGHV4-31*00	IGHD1-14*00	IGHJ4*00
5020474844217160284	IGHV4-31*00	IGHD4-11*00	IGHJ4*00
-3878984027030842276	IGHV4-39*00	IGHD3-3*00	IGHJ4*00
-410292727035580388	IGHV4-39*00	IGHD2-15*00	IGHJ4*00
-8373348130432805189	IGHV4-39*00	IGHD3-22*00	IGHJ4*00
-3963118074772251021	IGHV3-30*00	IGHD2-2*00	IGHJ3*00
5714946910002948826	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
5357434453001270088	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
7735630286506756806	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
7007107126237095728	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
1228055576343354425	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-2856622814059818642	IGHV3-64*00	IGHD2-21*00	IGHJ4*00
8771807459155125786	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-2178495174043841614	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-7416642959337745712	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-8506703184904301774	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
5441062143343096361	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-8772679095444361052	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-7842891303814821008	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
7996026178647846577	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-2464038374838725396	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
6508332044203281748	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
6048147734477564945	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
3569373909028483760	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
4553431276192066555	IGHV3-64*00	IGHD5-18*00	IGHJ4*00
4774150514264295013	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-1052396455791422894	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-6847764571367478411	IGHV3-64*00	IGHD2-2*00	IGHJ4*00
2202828583232485623	IGHV3-64*00	IGHD1-1*00	IGHJ4*00
-7085203727417784975	IGHV3-64*00	IGHD3-9*00	IGHJ4*00
2490486049186192518	IGHV3-64*00	IGHD6-19*00	IGHJ4*00
-3549872368740057117	IGHV3-66*00	IGHD6-13*00	IGHJ5*00
-2652044912544022116	IGHV3-66*00	IGHD6-13*00	IGHJ5*00
-9094215415402775157	IGHV3-66*00	IGHD6-13*00	IGHJ5*00
9062599693293582867	IGHV4-4*00	IGHD2-2*00	IGHJ6*00
4839698602670522485	IGHV4-4*00	IGHD2-2*00	IGHJ6*00
-11045580632150221	IGHV4-4*00	IGHD2-2*00	IGHJ6*00
3431868681553971073	IGHV4-4*00	IGHD2-2*00	IGHJ6*00
3110919088316937988	IGHV4-4*00	IGHD2-2*00	IGHJ6*00
-8252590435439702842	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-5715808992722747598	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
6624808703947108730	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-7528367059762730529	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-1289110891381620759	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
1806043560222426585	IGHV3-7*00	IGHD3-9*00	IGHJ5*00
6797676534383416695	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-4348909111720983131	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-8388979289124737033	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
2167475756201568950	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-1444799400756908668	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
8126505959741925441	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
2858962995216054055	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
4779839882997672320	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-5163873538701245271	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-7318904421168806232	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
-4839530143596070845	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
4465186556553192665	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
37530988595611779	IGHV3-7*00	IGHD3-9*00	IGHJ6*00
4199914318477453079	IGHV3-7*00	IGHD6-19*00	IGHJ4*00
4387457261882942896	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
-3963799316014170349	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
-4130687351047430807	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
798334789078755445	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
2946978073542605230	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
628021638704867985	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
-5546143106137008640	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
2757630022666517544	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
-6859528046274147598	IGHV3-9*00	IGHD3-3*00	IGHJ5*00
-5719182145099565835	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
-7721403145589188962	IGHV3-9*00	IGHD3-3*00	IGHJ4*00
1901327600269366885	IGHV3-9*00	IGHD7-27*00	IGHJ4*00
-1801372093160569261	IGHV3-9*00	IGHD7-27*00	IGHJ4*00
9169855080184611085	IGHV3-9*00	IGHD7-27*00	IGHJ4*00
-2414796057332660532	IGHV3-9*00	IGHD6-19*00	IGHJ1*00
2630817600477534816	IGHV3-9*00	IGHD7-27*00	IGHJ5*00
-2622852318594833100	IGHV3-9*00	IGHD7-27*00	IGHJ5*00
-6266905640298338898	IGHV3-9*00	IGHD7-27*00	IGHJ4*00
-7808596058576841009	IGHV3-9*00	IGHD4-17*00	IGHJ4*00
-7767043081343168211	IGHV3-9*00	IGHD7-27*00	IGHJ4*00
4004945621102616187	IGHV3-9*00	IGHD7-27*00	IGHJ4*00
4754155157394444601	IGHV4-59*00	IGHD3-10*00	IGHJ4*00
3363983785025455623	IGHV4-59*00	IGHD3-10*00	IGHJ4*00
-840453397708903224	IGHV4-59*00	IGHD3-10*00	IGHJ4*00
9030137690183199085	IGHV4-39*00	IGHD3-10*00	IGHJ2*00
-7382591274677321606	IGHV4-39*00	IGHD3-10*00	IGHJ2*00
-3204770717996793598	IGHV4-39*00	IGHD3-10*00	IGHJ2*00
-4030124999436602219	IGHV4-39*00	IGHD3-10*00	IGHJ2*00
-1860067711860801791	IGHV4-39*00	IGHD3-10*00	IGHJ2*00
-7451955554841854723	IGHV4-39*00	IGHD3-10*00	IGHJ2*00
-3967594082713443792	IGHV4-31*00	IGHD3-10*00	IGHJ2*00
1494663931901489518	IGHV3-72*00	IGHD3-10*00	IGHJ4*00
-3415818773352931537	IGHV3-72*00	IGHD3-10*00	IGHJ4*00
-1051424344622788370	IGHV3-72*00	IGHD3-10*00	IGHJ4*00
-6300288505573209843	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
-861667036234050687	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
-6363498620035606665	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
6476658182468177542	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
-2522002555407721130	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
327361990408630079	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
7848907461719177532	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
-4582240110022898437	IGHV3-66*00	IGHD3-10*00	IGHJ6*00
-7410773658092558452	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
-4904410661935626448	IGHV3-53*00	IGHD3-10*00	IGHJ6*00
6690116625343202490	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
1412085052560192730	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
8407245726432350760	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
3798074312557337736	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
8197432797406730237	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
-3185812408011678201	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
-1342031876274184904	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
2057057656989366295	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
621159281820515119	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
2884365288711941245	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
2353397582651531311	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
-7184124304041939869	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
606900379135300270	IGHV5-51*00	IGHD6-6*00	IGHJ4*00
-5609111858970964511	IGHV3-23*00	IGHD2-21*00	IGHJ4*00
2143754678949657379	IGHV3-23*00	IGHD5-12*00	IGHJ4*00
-1174645903236970015	IGHV3-23*00	IGHD6-25*00	IGHJ4*00
4141827815806090514	IGHV3-23*00	IGHD5-12*00	IGHJ4*00
7736767936194089741	IGHV3-23*00	IGHD5-12*00	IGHJ4*00
-3670614808008301020	IGHV3-23*00	IGHD5-12*00	IGHJ4*00
3680240326775167011	IGHV3-23*00	IGHD3-22*00	IGHJ4*00
4278407114374599240	IGHV3-23*00	IGHD5-12*00	IGHJ2P*00
-1541513927748350233	IGHV3-23*00	IGHD5-12*00	IGHJ4*00
2142776282550943292	IGHV3-23*00	IGHD5-12*00	IGHJ4*00
2777610615557747814	IGHV4-31*00	IGHD5-24*00	IGHJ4*00
-4220821134329634030	IGHV4-31*00	IGHD6-6*00	IGHJ4*00
-3431162158566465946	IGHV4-31*00		IGHJ2P*00
-3873522112247662172	IGHV4-31*00	IGHD6-13*00	IGHJ4*00
5724345289209927564	IGHV4-31*00	IGHD6-25*00	IGHJ4*00
3701486506477772584	IGHV4-31*00	IGHD6-13*00	IGHJ4*00
1287614037317761227	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-3962322667360999814	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-1805742520249872605	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-7065814181420099184	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-3144344344777097416	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
8291922345882682783	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
3328354100088084614	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-7143182567118765525	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
2055619777446503614	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
1868762379128817209	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
1147516267771319636	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-9105380871871928162	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-6039062490443176737	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
6869320280863381199	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-3253209916500008349	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-4112891058309307769	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
4247636204059660521	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
3167541083480207510	IGHV3-30*00	IGHD2-2*00	IGHJ2*00
-3361321672883820581	IGHV3-9*00	IGHD3-16*00	IGHJ3*00
-5620347297554713374	IGHV3-9*00	IGHD3-16*00	IGHJ3*00
4324536019747036275	IGHV3-9*00	IGHD3-16*00	IGHJ3*00
8043291336295700918	IGHV3-9*00	IGHD3-16*00	IGHJ3*00
3097401072191371518	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
8503535419721664032	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
2725876412518084474	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
-4505028640210902443	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-7787767483604969592	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-2821872005689309511	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
137987753897414067	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-7635818537093001477	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
2345473799863713933	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-6135428432760813198	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-4518602439054441388	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
7941533966359293653	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
6704487603979680572	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-5242950710802675711	IGHV3-23*00	IGHD6-13*00	IGHJ1*00
-8143532112766168910	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
1688325888072411258	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
6313626856280533264	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-3943932532746724568	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-7397806900974275536	IGHV3-23*00	IGHD6-6*00	IGHJ4*00
-1455019296462222401	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
9074746370873127290	IGHV3-23*00	IGHD1-26*00	IGHJ5*00
-642018186690906957	IGHV3-23*00	IGHD3-16*00	IGHJ4*00
-4259333806551206005	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
8687934174408702009	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
2278471471970825219	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-905649496374963850	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
576886031979614043	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-3216965590084831659	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-5465318706175444499	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
7138144888581426178	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-7527810886641201380	IGHV3-23*00	IGHD6-6*00	IGHJ3*00
7442668971806816927	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-2572426953880313341	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-316802497116139163	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-1399874099704874228	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
3319267860866911550	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-7860885310380444391	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-4235916942874257028	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-3675528285090832829	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
3198284180509561043	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
6804914151473152900	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
4871639529392765328	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-5123381353411107987	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
5651577395009357490	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
5954656444911385291	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
3879940818079751444	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
2194206823521759716	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
246802618328455097	IGHV3-23*00	IGHD2-2*00	IGHJ4*00
-2864069584472340952	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
2634405663528885250	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-9147057495420837539	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
2898662845912115499	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
3958089841324205081	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
4764083794001129975	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
5153031807026589497	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
1894073737952594220	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
1111166682667361112	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-8298396860200442290	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-1168744725748624564	IGHV3-23*00	IGHD6-6*00	IGHJ4*00
7849349406211888272	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-7843507605493235259	IGHV3-23*00	IGHD6-13*00	IGHJ4*00
-5568850373094148611	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
5668429325630040224	IGHV3-23*00	IGHD3-9*00	IGHJ4*00
3881336570886949427	IGHV3-23*00	IGHD3-3*00	IGHJ3*00
-6019922998419695967	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
330661759417454525	IGHV3-23*00	IGHD2-8*00	IGHJ5*00
7498874872234452156	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
-810701739220675004	IGHV3-23*00	IGHD3-3*00	IGHJ4*00
8836150764526915860	IGHV4-31*00	IGHD6-13*00	IGHJ4*00
1889446663108134624	IGHV4-31*00	IGHD3-9*00	IGHJ4*00
-6635123587588370250	IGHV3-23*00	IGHD2-21*00	IGHJ2*00
8595655706301620457	IGHV3-23*00	IGHD4-17*00	IGHJ2*00
-2142117785772201606	IGHV3-64*00	IGHD6-19*00	IGHJ6*00
8853835936712289107	IGHV3-64*00	IGHD6-19*00	IGHJ6*00
2840810613728633899	IGHV3-64*00	IGHD6-19*00	IGHJ6*00
41414107775852409	IGHV3-64*00	IGHD6-19*00	IGHJ6*00
4891633959134530074	IGHV3-64*00	IGHD6-19*00	IGHJ6*00
-6249483667977866921	IGHV3-64*00	IGHD6-19*00	IGHJ6*00
-7564310469668568859	IGHV3-64*00	IGHD6-19*00	IGHJ6*00
-1952768624700356358	IGHV3-66*00	IGHD4-23*00	IGHJ2*00
319956004994497204	IGHV3-66*00	IGHD3-22*00	IGHJ2*00
6550572933145441786	IGHV3-66*00	IGHD4-23*00	IGHJ2*00
-182378866459042078	IGHV3-66*00	IGHD3-22*00	IGHJ2*00
-7633948873250823171	IGHV3-66*00	IGHD4-23*00	IGHJ2*00
7592928078131187909	IGHV3-66*00	IGHD4-23*00	IGHJ2*00
-5349696685526316654	IGHV3-64*00	IGHD3-3*00	IGHJ5*00
8973829653824278031	IGHV3-64*00	IGHD3-3*00	IGHJ5*00
6444868293247914728	IGHV3-64*00	IGHD3-3*00	IGHJ4*00
7337252105123950555	IGHV3-64*00	IGHD3-3*00	IGHJ4*00
7640572175047298723	IGHV3-64*00	IGHD3-3*00	IGHJ4*00
-5801075156618009024	IGHV3-64*00	IGHD3-3*00	IGHJ4*00
3854915846226746510	IGHV3-64*00	IGHD3-22*00	IGHJ4*00
5836015406060312158	IGHV3-64*00	IGHD3-16*00	IGHJ5*00
3188123849934557664	IGHV4-31*00	IGHD2-2*00	IGHJ4*00
6581902481508273302	IGHV4-31*00	IGHD2-2*00	IGHJ4*00
5346743910846469300	IGHV4-31*00	IGHD2-2*00	IGHJ4*00
-3330093061211679168	IGHV4-31*00	IGHD2-2*00	IGHJ4*00
-111892957172458676	IGHV4-31*00	IGHD2-2*00	IGHJ4*00
-4788844340192132904	IGHV4-31*00	IGHD2-2*00	IGHJ5*00
8038712612357554607	IGHV3-30*00	IGHD3-10*00	IGHJ4*00
-368953803282936528	IGHV3-30*00	IGHD3-10*00	IGHJ4*00
3102537075130732666	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
6539112199426195888	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
-3055555146252855904	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
-229437550705912185	IGHV3-22*00	IGHD2-8*00	IGHJ5*00
-6314565963781474843	IGHV3-22*00	IGHD3-3*00	IGHJ5*00
-165656904896062862	IGHV3-22*00	IGHD2-8*00	IGHJ4*00
-8885405512202090289	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
4700381108307697691	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
-6246173388328304163	IGHV3-22*00	IGHD2-8*00	IGHJ2P*00
-2831764354997850511	IGHV3-22*00		IGHJ5*00
-892285350719432519	IGHV3-22*00	IGHD3-16*00	IGHJ5*00
6308454774944319564	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
6056888471550195651	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
211910958642773379	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
-3178712344930120622	IGHV3-22*00	IGHD3-16*00	IGHJ4*00
-7513193997751905129	IGHV3-53*00	IGHD3-3*00	IGHJ3*00
4843147813476955415	IGHV3-53*00	IGHD2-15*00	IGHJ3*00
6163113913437715437	IGHV3-53*00	IGHD3-3*00	IGHJ3*00
-6728914774884558234	IGHV3-53*00	IGHD3-3*00	IGHJ3*00
-9128425479666283267	IGHV3-53*00	IGHD3-3*00	IGHJ3*00
-3560319362712726182	IGHV3-53*00	IGHD3-3*00	IGHJ2*00
6545257994306975446	IGHV3-53*00	IGHD3-3*00	IGHJ3*00
-3932561588679203110	IGHV3-53*00	IGHD2-8*00	IGHJ3*00
-2920778506973262308	IGHV3-53*00	IGHD2-21*00	IGHJ3*00
-297884335082138574	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
-8548186967705032318	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
-3687209459051132627	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
-4764888875419251557	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
-4482023079899638287	IGHV3-23*00	IGHD6-19*00	IGHJ4*00
-3060380289586898162	IGHV3-9*00	IGHD3-16*00	IGHJ4*00
